sentences,label
"harga murah ! pelayan baik dan ramah . lokasi masuk gang ( perkampungan warga ) tetapi bisa dicari di google map . kamar bersih , rapi dan cukup luas . fasilitas : tv mantap , ac kurang dingin ( 16 ) , snack dan air , perlengkapan mandi ( sabun odol sikat ) , handuk ada 2 tetapi kecil , air lancar tetapi agak bau . mungkin karena air sumur bor dan lokasi dekat dengan sungai . ",2
"kamar terasa sempit , lokasi yang kurang strategis ( masuk lewat ramah yang sudah tetup ) , ac tidak dingin , aura ruangan tidak enak ( bayi menangis melulu kalau tidur ) walau pelayanan atau orang yang menunggu disana ramah . ",2
"ac kurang dingin , overall oke . ",3
"semuanya baik dan nyaman pelayanannya , lokasinya strategis pinggir jalan , cuma satu kalau bisa tolong sediakan tempat sampah di dalam kamar , next time balik lagi menginap di airy . ",3
tidak ada masalah selama menginap di tempat ini .,1
"tempat bersih , harga sesuai , sangat cocok untuk para traveler bacpacker , tempat nyaman , tenang . ",1
pelayanan kurang ramah . tidak ada air untuk mandi .,2
"pelayanannya baik dan ramah , dan masih banyak lagi nilai plusnya . dijamin tidak nyesal deh . ",1
"dengan tarif yang relatif murah , tetapi semua oke . ",1
"baik , staf ramah . ",1
"kamarnya horor , kurang bersih . ",2
"sebenarnya sudah terlihat bersih , tetapi mengapa banyak semut di meja dan di tempat tidur , membuat tidak nyaman sekali . ",2
"tempat nyaman untuk beristirahat , namun perlengkapan mandi yang ada tidak lengkap , hanya ada sabun dan sampo . ",3
"tidak ada sabun cuci piring , air di kamar mandi mengucur kecil , . ",2
dapat beristrhat dengan nyaman di hotel ini .,1
"lokasi strategis banget , para stafnya ramahramah . kamar bersih dan wangi pokoknya oke , 4 jempol : ) tidak nyesal deh menginap disini . terimakasih airy dan terimakasih juga buat londres bed dan breakfast : ) . ",1
ada harga ada rupa . mantapp sangat apalagi banyak promo nya .,1
staf ramah dan kamar bersih recommended .,1
hotel dan kamar bersih .,1
bagus . cuma kasurnya agak berisik .,3
"kamar bersih , rapi , semuanya bagus tetapi hanya 1 yang kurang yaitu kamar kurang kedap suara , suara dari luar maupun dari dalam keluar terdengar jelas . ",3
"kamar nyaman , suasana tenang . ",1
"pelayanan baik , tengah kota . ",1
kurang ramah .,1
kamernya sempit kwmar mandinya kotor .,3
air panas bullshit .,2
pelayanannya ramah .,1
"nyaman , tetapi kamar agak sempit dan bernyamuk . ",3
tempat parkir mobil yang terbatas .,2
"sudah 2x ini inap di airy tetapi tidak pernah dapat bingkisan kotak biru dari airy ( complimentery ) padahal baca review temanteman sering pada dapat . waktu bertanya dari pihak hotel katanya dari airy tidak pernah kirim lagi , ty ke customer pelayanan airy di jawab airy tidak ada gitugituan , dan percakapan langsung di hentikan oleh customer pelayanan ats nama koko . ",2
"kamar hotel bersih , nyaman dan suasananya tenang banget . staf hotelnya pun sangat ramah dan baik . ",1
"kamarnya nyaman , bersih , pelayanannya ramah . recomended . ",1
"ada kecoak di kamar mandi , ac kurang dingin , air panas malam hari tidak nyala . ",2
"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . ",2
not bad . tetapi ada kecoak di lemarinya . : ) .,3
karpet sudah tidak layak . tetapi kamar lumayan nyaman .,2
bagus . hanya saja tidak ada lift untuk ke lantai 3 . he .,2
sangat nyaman dan murah dan betah disana .,1
serasa di rumah sendiri .,1
nyaman bersih acnya cool sangat .,1
"tempatnya nyaman , akses mudah , harga terjangkau . ",1
"fasilitasnya baik , kolamnya enak buat renang . tetapi sarapannya porsi sedikit . ",3
"kamar bersih , rapi . kamar mandi perlu perawatan extra . ",1
"kamar kurang bersih air susah , air panas tidak ada . ",2
"sangat baik , walaupun terdiri dari lima lantai dan tangga , tidak ada lift , pelayanan sangat baik , tetapi kalau lebih dari 2 orang kena charge . ",1
"harga pas di kantong , kamar sudah memadai . ",1
"untuk kamar standar dari segi kebersihan perlu ditingkatkan , mungkin karena bangunan dan interior lama jadi kesannya kurang nyaman , pelayanan cukup baik , ada snack juga , over all bagus . ",3
kurang lampu saja ini yang kurang terang .,2
"pelayanan nya benarbenar ramah , pokok nya tidak nyesal . ",1
enak sih tempatnya tetapi air panas dikamat mandi nya tidak mau terus tidak ada dikasih air minum .,3
"kmi sangat puass dan tidak menyesal , sesuai dengan ekspetasi yang kmi harapkan . ",1
harga murah . banyak tempat wisata malam di sekitaran nya .,1
"semuanya baik , kecuali wifi lambat . ",3
"untuk harga yang sangat terjangkau , fasilitasnya melebihi ekspektasi . kamar luas , dingin . sayangnya water heater sedang dibenarkan dan kasur agak keras . cuma untuk harga begini , sangat sangat oke ! ",1
gordain kurang lebar dan bahan tipis .,2
"keren banget hotelnya , mantaab pelayanannya . ",1
"tidak ada resepsionis , pintu kamar mandi rusak , kamar sempit . ",2
kamar iya bocor dan rembes perlu ada perbaikan .,2
tempat nyaman dan strategis .,1
semuanya baik dan bagus .,1
"hotelnya bersih dan nyaman , tetapi keyika masuk kamar sangat bau bekas asap rokok . ",3
"sangat kecewa , wc nya kotor banget , tidak layak pakai dan tv runyem , dan tidak ada makanan snack nya dan gaada paket sabun , samponya . ",2
"kamar cukup bersih , makanan lumayan tetapi tidak jadi renang deh anakku karena kotor . padahal sudah semangat mau renang . ",3
makanan kurang variasi . kamarnya cukup lega .,3
tidak ada air panas nya .,2
"tempat yang nyaman sesuai dengan yang ada di foto . crewnya semua baik dan ramah . evaluasinya adalah keset kamar mndinya tidak terlalu menyerap air , hnduk hrsnya 2 kalau untuk kamar twin dan doble . ",3
lokasi kamar terpencil .,2
"kamar seperti difoto , tempatnya bersih dan nyaman yang jaga juga baik . ",2
"wastafel bocor , handuk bau tidak enak ( tidak bersih ) , lemari kotor . ",2
hotel bersih dan nyaman .,1
sangat nyaman dan bagus .,1
semoga bisa memberikan pelayanan yang lebih baik lagi .,1
"semuanya baik , saat check in jam 01.40 masih dilayani . hot water juga baik . hanya saja di tiap kamar lebih baik di sediakan petunjuk arah kiblat . ",1
"kamar nyaman , bersih , dan karyawannya ramah "" dan baik "" . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh . ",3
nyaman bersih tenang gampang untuk menuju kota dan tempat makan .,1
tidak nyaman kamar mandi bau tidak ada gantungan baju dan lingkunganya berisik .,2
kamar mandi agar diperbaiki .,2
air panas kamar mandi kurang panas .,2
bantal sudah tidak layak pakai . seprai kotor . kasur kurang nyaman .,2
nyaman banget . walau roomnya ada di atas .,1
"lebih di perhatikan kebersihannya , terutama lantai . ",2
air showernya kecil banget . mandinya jadi kesel . tidak dapat handuk . ada kecoak kecil dari balik tempat tidur .,2
"kamarnya berdebu bangeet , terus pintunya tidak bisa dikunci dari dalam saya panik kalau tbtb ada yang masuk . ",2
"mereka upgrade gratis kamar , terimakasih airy . ",1
"tempatnya nyaman , jauh dari kebisingan lalu lintas kendaraan . ",1
"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik . ",1
di kamar basement sinyal hp tidak ada .,2
lokasi hotel tidak di jalan utama . di kamar tidak tersedia telepon operator . serta lebih mirip tempat kost . namun kondisi kamar bersih . free wifi juga belum ada sepertinya .,2
lumayan . sesuai harga murah neriah .,1
"pelayanan ramah customer pelayanan ramah . cuma bantal kecil agak bau dan selimutnya juga , pintu kamar . ",3
"lokasi tidak jelas karena tidak ada plang airy rooms , kamar sedikit pengap . kamar mandi oke untuk harga segitu , ac juga dingin . kebersihan lumayan . ",2
"kamar nyaman , penjaga ramah , dan sopan . ",1
"kamar baik , tidak kotor dan pelayanan juga oke . ",1
"kamar seperti kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit . ",2
"kamarnya bersih , nyaman , ac nya dingin , sarapannya juga enak . dan sangat rekomended untuk liburan . ",1
wastafel macet . kamar kurang bersih di sela lemari banyak sawang .,2
"hot water showernya tidak ada , brand produk airy tidak ada , snack dan tas paket alat mandi airy tidak ada , kamarnya juga tidak bersih . ",2
"kamar bersih , fasilitas sesuai deskripsi . ",1
"cukup memuaskan , hanya tv yang agak mengecewakan . ",3
"hotel lama , kunci keycard rusak dan pintu wc sehingga tidak bisa ditutup . tetapi pelayanan secara keseluruhan dari airy tetap memuaskan . terimakasih . ",3
resepsionis tidak sopan . keluhan wifi tidak di respons .,2
"pelayanan ramah , kamar bersih . overall good . ",1
"nyaman , pas dapat yang enak he . ",1
"dengan harga murah , kamar sesuai dengan harga , karyawan ramah , dengan snack dikamar lumayan buat ganjel perut sarapan , wifi lumayan buat youtube an . ",1
overall is oke lah .,1
"kamar bagus , bersih , pelayanan baik , jauh dari tempat makan , selebihnya nyaman dengan harga terjangkau . ",1
recomended buat refreshing dan sangat nyaman .,1
kamarnya terlalu remang remang . klosetnya juga tersumbat .,1
"harga murah , pelayanan baik , fasilitas juga oke . ",1
"kamar terasa pengap , addmill tidak sesuai . ",1
lebih membutuhkan maintenance untuk kamar mandi dan aroma ac/kamarnya .,2
"bagus , toilet nya aga kotor . ",2
"kamarnya luas , pegawainya ramahramah sekali dan sangat membantu . lokasinya juga dekat kalau mau pergi kemanakemana . sarapannya juga enak , puas sekali menginap disini . kalau ke cirebon lagi pasti bakal balik lagi inap disini . ",1
selalu senang kalau menginap disini .,1
makanannya biasa ajah . untuk harga segitu sebenarnya masih kemahalan .,2
nyaman dan menyenangkan .,1
"pelayanan dari sekurity tidak baik , air kamar mandi bau . ",2
kamar oke . wc tersumbat lebih di perhatikan lagi iya kamar nyaman banget .,2
"kali ini saya dan suami diberi kamar yang luas dan nyaman seperti di rumah sendiri , ada balkon juga , suka pokoknya . ",1
saat kedatangan pertama tidak terlalu kotor seprai nya . karena nyaman bisa di toleran dan murab kami datang kembali .,3
nyaman bersih cuma sayang tidak ada tisu toiletnya .,3
kelengkapan kamar sangat baik namun keramahan pegawai front office masih kurang .,1
toilet nya kotor . kamar mandi nya juga tidak bersih . untuk kasur dan lain lain oke .,2
"good , sangat nyaman . ",1
"sebenarnya menyenangkan pemandangan indah , tetaoi kurang terawat dan sewaktu saya datang lantai menuju kamar masih sangat kotor . ",3
kamar lumayan luas .,1
"bersama temanteman menginap di beberapa kamar dengan airy , ada handuk yang bau , lorong menuju kamar bau rokok , ada selimut yang kotor , ada bantal airy biru bau keringat , tempat makan outdoor juga tidak bebas rokok padahal banyak anak - anak , wifi oke banget . ",2
"pelayanan ramah , hotel islami yang baik dan lokasi yang strategis . ",1
ada harga ada kualitas bagi saya kualitas sudah diatas harga . semoga bisa menginap disini lagi .,1
sudah bayar tidak jadi cek in tidak ada konfirmasi apalagi refund .,2
"tempat bersih , nyaman , dan canggih . ",1
"hotelnya nyaman , breakfastnya variatif dan pelayanannya bagus . terimakasih airy . ",1
"kamar nyaman , petugas ramah cuma timingnya tidak tepat kolam renang sedang renovasi padahal itu yang kemarin di incar anakanak . ",3
bersih . nyaman . ramah . dekat dengan taman safari .,1
"lemari dan meja yang di dalam kamar sudah rusak , pintunya juga rusak , siaran tv nya tidak bagus . ",2
"kamar baik dan ok , dekat dengan jatimpark . ",1
"kamarnya sih oke pas , cuma penjaganya lagi pms iya kok galak benar padahal cowok . ",2
"petugas ramah , kamar lumayan cuma karena bangunan lama agak perlu pembenahan , toilet kurang bersih kecuali klosetnya lumayan bersih . dan kamar tanpa jendela , jadi sempit dan pengap meski ada ac . saat sarapan petugas kurang , jadi agak keteter melayani tamu . ",3
tempatnya bagus untuk istirahat .,1
"suasana damai , parkiran luas , pelayanan ramah . ",1
"resepsionis nya super ramah . tempatnya bersih , rapi , wangi juga . nanti next time mau pilih tempat ini lagi . ",1
"kamar bagus dan karyawan ramah , tetapi satu hal hanya waktu sarapan pukul 8wita belum siap dan baru di buat ! payah . andai kalau aku tidak turun kamar mungkin tidak di sediakan . untuk lainnya good . ",3
"seperti biasa , bersih fasilitas berfungsi semua orang nya ramah . ",1
"kamar agak kotor , bau rokoknya kuat , sarapan dan pelayanan istimewa . ",3
"kamar bocor , air panas tidak nyalah , ac tidak dingin , . ",2
ac kurang dingin .,2
kamar nya kurang dingin karena ac nya rusak . penanganan pindah kamar lama .,2
kebersihan kamar masih jelek .,2
lumayan nyaman cuma fasilitas nya kurang .,3
dibutuhkan pengharum kamar mandi ? selebihnya mantap .,3
sangat baik pelayanan nya .,1
"tempat bersih nyaman , pegawainya ramah semua . ",1
baik dan nyaman . bersih . untuk liburan keluarga .,1
"hotel tua , dapat kamar yang kuncinya rusak , kemudian dipindah ke kamar lain , ketel air rusak dan bau , kamar mandi tergenang air . ",2
"recommended . untuk harga segitu , lumayan lah . ",1
sangat puas dan menyenangkan . terima kasih !,1
"pelayanan ramah , kamar bersih dan harus lebih ditingkatkan untuk kebersihan , menu sarapan dan peralatan . ",1
ac tidak dingin ! kamar kotor dan banyak nyamuk . air panas tidak nyala . tv sebagai pajangan saja iya ?,2
"lumayan dan bersih , cuma handle pintu kamar mandinya tidak ada . ",3
"bersih dan nyaman , sayang tidak ada tv kabel . ",3
bersih . oke . nyaman .,1
sudah cukup baik .,1
"saya sangat sering menggunakan airy room , sehingga sudah tahu apa saja fasilitas yang biasanya ada . cemilan yang ada juga hanya setengah dari pada biasanya . ",1
"kamar sesuai difoto , nyaman , dekat jalan malioboro pokoke jos gandos . ",1
nyaman . dekat dengan malioboro dan stasiun tugu . akses kemanakemana dekat .,1
"wifi kencang , kamar luas , ac bagus , tetapi kamar mandi agak kotor , makanannya enak dan harga terjangkau , tempat makan juga banyak sekitar hotel , akses kemana - mana sekitar kota dekat , terimakasih airyroom . ",3
fasilitas memuaskan . kurang bersih kamarnya koridor dan lift nya .,3
"viewnya bagus , tempatnya asyik , apalagi ada diskon jadi full sneng iya bisa diblkng lagi sebentar kalau liburan school . ",1
"pelayanan baik , kebersihan kamar baik , hanya kelengkapannya saja tidak tersedianya termos untuk air panas ataupun memasak air panas , selebihnya baik . ",3
sudah sering menginap disini .,1
susah sinyal sehingga mau menelepon itu harus keluar hotel .,2
"lumayan , keseluruhan nyaman sayangnya , ada beberapa hal yang harus diperhatikan , kurangnya kebersihan pada kamar , ada bekas rexona di bawah kasur dari tamu awal , tetapi selebihnya luar biasa . nyaman , wifi cepat . pelayanan yang baik . terimakasih . rekomended buat backpacker yang bingung cari tempat untuk menginap , terimakasih airy . anda memang kece . ",3
